period,duoarea,area-name,product,product-name,process,process-name,series,series-description,value,units
2000-11,NUS-NTD,TTO,EPG0,Natural Gas,IML,Liquefied Natural Gas Imports,N9103TD2,U.S. Liquefied Natural Gas Imports From Trinidad and Tobago (MMcf),6950,MMCF
2000-11,NUS-Z00,U.S.,EPG0,Natural Gas,PML,LNG Imports (Price),N9103US3,Price of U.S. Natural Gas LNG Imports (Dollars per Thousand Cubic Feet),3.61,$/MCF
2000-11,NUS-NMU,OMN,EPG0,Natural Gas,IML,Liquefied Natural Gas Imports,N9103MU2,U.S. Liquefied Natural Gas Imports From Oman (MMcf),2333,MMCF
2000-11,NUS-NCA,CAN,EPG0,Natural Gas,PRP,Pipeline Imports Price,N9102CN3,Price of U.S. Natural Gas Pipeline Imports From Canada (Dollars per Thousand Cubic Feet),4.94,$/MCF
2000-11,NUS-Z00,U.S.,EPG0,Natural Gas,PRP,Pipeline Imports Price,N9102US3,U.S. Natural Gas Pipeline Imports Price (Dollars per Thousand Cubic Feet),4.94,$/MCF
2000-11,NUS-NAG,DZA,EPG0,Natural Gas,PML,LNG Imports (Price),N9103AG3,Price of U.S. Liquefied Natural Gas Imports From Algeria (Dollars per Thousand Cubic Feet),3.98,$/MCF
2000-11,NUS-NTC,ARE,EPG0,Natural Gas,PML,LNG Imports (Price),N9103UA3,Price of U.S. Liquefied Natural Gas Imports From The United Arab Emirates (Dollars per Thousand Cubic Feet),,$/MCF
2000-11,NUS-Z00,U.S.,EPG0,Natural Gas,IRP,Pipeline Imports,N9102US2,U.S. Natural Gas Pipeline Imports (MMcf),310567,MMCF
2000-11,NUS-NQA,QAT,EPG0,Natural Gas,PML,LNG Imports (Price),N9103QR3,Price of U.S. Liquefied Natural Gas Imports From Qatar (Dollars per Thousand Cubic Feet),3.32,$/MCF
2000-11,NUS-NMY,MYS,EPG0,Natural Gas,PML,LNG Imports (Price),N9103MY3,Price of U.S. Liquefied Natural Gas Imports From Malaysia (Dollars per Thousand Cubic Feet),,$/MCF
2000-11,NUS-Z00,U.S.,EPG0,Natural Gas,IML,Liquefied Natural Gas Imports,N9103US2,U.S. Liquefied Natural Gas Imports (MMcf),19192,MMCF
2000-11,NUS-NAG,DZA,EPG0,Natural Gas,IML,Liquefied Natural Gas Imports,N9103AG2,U.S. Liquefied Natural Gas Imports From Algeria (MMcf),2552,MMCF
2000-11,NUS-NAS,AUS,EPG0,Natural Gas,PML,LNG Imports (Price),N9103AU3,Price of U.S. Liquefied Natural Gas Imports From Australia (Dollars per Thousand Cubic Feet),3.44,$/MCF
2000-11,NUS-NTD,TTO,EPG0,Natural Gas,PML,LNG Imports (Price),N9103TD3,Price of U.S. Liquefied Natural Gas Imports From Trinidad and Tobago (Dollars per Thousand Cubic Feet),3.85,$/MCF
2000-11,NUS-Z00,U.S.,EPG0,Natural Gas,PM0,Imports Price,N9100US3,Price of U.S. Natural Gas Imports (Dollars per Thousand Cubic Feet),4.86,$/MCF
2000-11,NUS-NTC,ARE,EPG0,Natural Gas,IML,Liquefied Natural Gas Imports,N9103UA2,U.S. Liquefied Natural Gas Imports From The United Arab Emirates (MMcf),0,MMCF
2000-11,NUS-NAS,AUS,EPG0,Natural Gas,IML,Liquefied Natural Gas Imports,N9103AU2,U.S. Liquefied Natural Gas Imports From Australia (MMcf),116,MMCF
2000-11,NUS-NMX,MEX,EPG0,Natural Gas,IRP,Pipeline Imports,N9102MX2,U.S. Natural Gas Pipeline Imports From Mexico (MMcf),1231,MMCF
2000-11,NUS-NMY,MYS,EPG0,Natural Gas,IML,Liquefied Natural Gas Imports,N9103MY2,U.S. Liquefied Natural Gas Imports From Malaysia (MMcf),0,MMCF
2000-11,NUS-NNI,NGA,EPG0,Natural Gas,IML,Liquefied Natural Gas Imports,N9103NG2,U.S. Liquefied Natural Gas Imports From Nigeria (MMcf),0,MMCF
2000-10,NUS-NTC,ARE,EPG0,Natural Gas,IML,Liquefied Natural Gas Imports,N9103UA2,U.S. Liquefied Natural Gas Imports From The United Arab Emirates (MMcf),0,MMCF
2000-10,NUS-NTD,TTO,EPG0,Natural Gas,IML,Liquefied Natural Gas Imports,N9103TD2,U.S. Liquefied Natural Gas Imports From Trinidad and Tobago (MMcf),7392,MMCF
2000-10,NUS-NMX,MEX,EPG0,Natural Gas,PRP,Pipeline Imports Price,N9102MX3,Price of U.S. Natural Gas Pipeline Imports From Mexico (Dollars per Thousand Cubic Feet),5.17,$/MCF
2000-10,NUS-Z00,U.S.,EPG0,Natural Gas,PML,LNG Imports (Price),N9103US3,Price of U.S. Natural Gas LNG Imports (Dollars per Thousand Cubic Feet),3.96,$/MCF
2000-10,NUS-NTC,ARE,EPG0,Natural Gas,PML,LNG Imports (Price),N9103UA3,Price of U.S. Liquefied Natural Gas Imports From The United Arab Emirates (Dollars per Thousand Cubic Feet),,$/MCF
2000-10,NUS-NMY,MYS,EPG0,Natural Gas,PML,LNG Imports (Price),N9103MY3,Price of U.S. Liquefied Natural Gas Imports From Malaysia (Dollars per Thousand Cubic Feet),,$/MCF
2000-10,NUS-NQA,QAT,EPG0,Natural Gas,IML,Liquefied Natural Gas Imports,N9103QR2,U.S. Liquefied Natural Gas Imports From Qatar (MMcf),7165,MMCF
2000-10,NUS-NAS,AUS,EPG0,Natural Gas,PML,LNG Imports (Price),N9103AU3,Price of U.S. Liquefied Natural Gas Imports From Australia (Dollars per Thousand Cubic Feet),,$/MCF
2000-10,NUS-NCA,CAN,EPG0,Natural Gas,IRP,Pipeline Imports,N9102CN2,U.S. Natural Gas Pipeline Imports From Canada (MMcf),296022,MMCF
2000-10,NUS-Z00,U.S.,EPG0,Natural Gas,IRP,Pipeline Imports,N9102US2,U.S. Natural Gas Pipeline Imports (MMcf),297137,MMCF
2000-10,NUS-NAS,AUS,EPG0,Natural Gas,IML,Liquefied Natural Gas Imports,N9103AU2,U.S. Liquefied Natural Gas Imports From Australia (MMcf),0,MMCF
