period,duoarea,area-name,product,product-name,process,process-name,series,series-description,value,units
2023-08,SAZ,USA-AZ,EPG0,Natural Gas,PEU,Electric Power Price,N3045AZ3,Arizona Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),,$/MCF
2023-08,SNH,USA-NH,EPG0,Natural Gas,PEU,Electric Power Price,N3045NH3,New Hampshire Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),,$/MCF
2023-08,SWV,USA-WV,EPG0,Natural Gas,PEU,Electric Power Price,N3045WV3,West Virginia Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),,$/MCF
2023-08,SPA,USA-PA,EPG0,Natural Gas,PEU,Electric Power Price,N3045PA3,Pennsylvania Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),1.47,$/MCF
2023-08,SAK,USA-AK,EPG0,Natural Gas,PEU,Electric Power Price,N3045AK3,Alaska Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),8.2,$/MCF
2023-08,SVT,USA-VT,EPG0,Natural Gas,PEU,Electric Power Price,N3045VT3,Vermont Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),,$/MCF
2023-08,SND,USA-ND,EPG0,Natural Gas,PEU,Electric Power Price,N3045ND3,North Dakota Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),3.64,$/MCF
2023-08,STN,USA-TN,EPG0,Natural Gas,PCS,Price Delivered to Commercial Sectors,N3020TN3,Tennessee Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet),11.03,$/MCF
2023-08,NUS,U.S.,EPG0,Natural Gas,PCS,Price Delivered to Commercial Sectors,N3020US3,U.S. Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet),11.21,$/MCF
2023-08,SVT,USA-VT,EPG0,Natural Gas,PCS,Price Delivered to Commercial Sectors,N3020VT3,Vermont Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet),5.9,$/MCF
2023-08,SDE,USA-DE,EPG0,Natural Gas,PCS,Price Delivered to Commercial Sectors,N3020DE3,Delaware Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet),17.67,$/MCF
2023-08,SNH,USA-NH,EPG0,Natural Gas,PCS,Price Delivered to Commercial Sectors,N3020NH3,New Hampshire Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet),24.24,$/MCF
2023-07,SIN,USA-IN,EPG0,Natural Gas,PCS,Price Delivered to Commercial Sectors,N3020IN3,Indiana Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet),10.91,$/MCF
2023-07,SND,USA-ND,EPG0,Natural Gas,PCS,Price Delivered to Commercial Sectors,N3020ND3,North Dakota Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet),7.86,$/MCF
2023-07,SAZ,USA-AZ,EPG0,Natural Gas,PCS,Price Delivered to Commercial Sectors,N3020AZ3,Arizona Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet),12.41,$/MCF
2023-07,SAR,USA-AR,EPG0,Natural Gas,PCS,Price Delivered to Commercial Sectors,N3020AR3,Arkansas Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet),10.61,$/MCF
2023-07,SIA,USA-IA,EPG0,Natural Gas,PCS,Price Delivered to Commercial Sectors,N3020IA3,Iowa Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet),8.97,$/MCF
2023-07,SLA,USA-LA,EPG0,Natural Gas,PCS,Price Delivered to Commercial Sectors,N3020LA3,Louisiana Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet),9.85,$/MCF
2023-07,SNE,USA-NE,EPG0,Natural Gas,PCS,Price Delivered to Commercial Sectors,N3020NE3,Nebraska Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet),8.81,$/MCF
2023-07,STN,USA-TN,EPG0,Natural Gas,PCS,Price Delivered to Commercial Sectors,N3020TN3,Tennessee Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet),10.14,$/MCF
2023-07,SRI,USA-RI,EPG0,Natural Gas,PEU,Electric Power Price,N3045RI3,Rhode Island Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),,$/MCF
2023-07,SME,USA-ME,EPG0,Natural Gas,PEU,Electric Power Price,N3045ME3,Maine Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),,$/MCF
2023-07,SMT,USA-MT,EPG0,Natural Gas,PEU,Electric Power Price,N3045MT3,Montana Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),2.21,$/MCF
2023-07,SNM,USA-NM,EPG0,Natural Gas,PEU,Electric Power Price,N3045NM3,New Mexico Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),2.43,$/MCF
2023-07,SWI,USA-WI,EPG0,Natural Gas,PEU,Electric Power Price,N3045WI3,Wisconsin Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),,$/MCF
